Canciones,id_tracks,duracion_ms,popularidad,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,time_signature,Canción,Artista/Banda,Producto,Categoría de Producto,Industria,Año
Ella,2GNJawOSDChPzLODARwBoB,160468,44,795,714,0,416,158,-8,321,154,0,3,1,4.0,Ella,Bebe,Corte Inglés,Tiendas físicas y minoristas,Consumo y Retail,2006
En cambio no,6ea3gVkbrhghwfoio3NFpi,237440,67,0,536,378,0,115,-6,266,133,147,0,1,4.0,En cambio no,Laura Pausini,En Nombre del Amor,Series de televisión,Entretenimiento y Medios,2008
En el Mundo Genial de las Cosas Que Dices - Al Natural,4YzybuHsIUR5VOi8iaxotu,251040,11,0,527,442,0,0,-8,342,95,0,7,1,4.0,En el Mundo Genial de las Cosas Que Dices - Al Natural,Chico Buarque,Danone,Alimentos y bebidas,Consumo y Retail,2007
En el Mundo Genial de las Cosas Que Dices - Al Natural,4YzybuHsIUR5VOi8iaxotu,251040,11,0,527,442,0,0,-8,342,95,0,7,1,4.0,En el Mundo Genial de las Cosas Que Dices - Al Natural,Chico Buarque,Mente Creativa,Series de televisión,Entretenimiento y Medios,2008
En mis besos,6vOgu4cRDv0KaxgDYU1C1t,214466,43,851,0,397,122,746,-12,279,86,345,2,0,4.0,En mis besos,Dani Martín,Velvet,Series de televisión,Entretenimiento y Medios,2014
Enero en la playa,6yp5YV9LK7SmpeIx0R2oNO,317613,26,845,634,367,725,0,-12,45,94,982,7,1,4.0,Enero en la playa,Natalia Lafourcade,Heineken,Alimentos y bebidas,Consumo y Retail,2018
England Skies,5fVFW9WqTsBt34JFhKxIty,235043,51,158,562,492,244,97,-7,269,83,237,10,1,4.0,England Skies,Shake Shake Go,Renault,Vehículos y automóviles,Automotriz y Transporte,2015
Enloquéceme,6S7RCt5NBbhtYKf7doejfq,249000,29,948,865,0,91,228,-3,104,106,831,7,0,4.0,Enloquéceme,OV7,Locura de Amor,Series de televisión,Entretenimiento y Medios,2000
Estando Contigo,49Z7Zpog1ognJ6dwPPjvAx,169800,2,0,506,444,21,597,-9,131,201,719,9,1,4.0,Estando Contigo,Marisol,Mañana es para siempre,Película,Entretenimiento y Medios,2008
Esto Es Lo Que Soy,21E5BiLrro5Cw2qrACsar7,214080,28,166,512,884,0,119,-5,519,144,446,2,1,4.0,Esto Es Lo Que Soy,Jesse & Joy,Atrévete a Soñar,Series de televisión,Entretenimiento y Medios,2008
Ever Fallen In Love,0ehSg6Qnt2UpGdAYgppcQM,199746,0,187,698,779,116,142,-5,335,93,859,0,1,4.0,Ever Fallen In Love,Buzzcocks,Shrek 2,Película,Entretenimiento y Medios,2004
Every Breath You Take,4u2b3QdJ6FkyaaTK0TrRQR,167653,59,392,774,422,0,202,-9,324,120,457,0,1,4.0,Every Breath You Take,The Police,My Best Friends Wedding,Película,Entretenimiento y Medios,1997
Every Teardrop Is A Waterfall,3ViG53I02hn2DmNybJXZ1h,243000,0,152,431,739,249,931,-6,387,118,329,9,1,4.0,Every Teardrop Is A Waterfall,Coldplay,Apple,Dispositivos electrónicos,Tecnología y Comunicaciones,2011
Every Teardrop Is A Waterfall,3ViG53I02hn2DmNybJXZ1h,243000,0,152,431,739,249,931,-6,387,118,329,9,1,4.0,Every Teardrop Is A Waterfall,Coldplay,The Hunger Games,Película,Entretenimiento y Medios,2012
Everybody's Talkin',2lkIZVG7aRjPd0zXq6rb47,163053,0,569,438,448,33,211,-9,323,124,668,4,1,4.0,Everybody's Talkin',Harry Nilsson,Midnight Cowboy,Película,Entretenimiento y Medios,1969
Everybody's Talkin',2lkIZVG7aRjPd0zXq6rb47,163053,0,569,438,448,33,211,-9,323,124,668,4,1,4.0,Everybody's Talkin',Harry Nilsson,Forrest Gump,Película,Entretenimiento y Medios,2003
Everybody's Talkin',2lkIZVG7aRjPd0zXq6rb47,163053,0,569,438,448,33,211,-9,323,124,668,4,1,4.0,Everybody's Talkin',Harry Nilsson,Volkswagen,Vehículos y automóviles,Automotriz y Transporte,1995
Everybody's Talkin',2lkIZVG7aRjPd0zXq6rb47,163053,0,569,438,448,33,211,-9,323,124,668,4,1,4.0,Everybody's Talkin',Harry Nilsson,Toyota,Vehículos y automóviles,Automotriz y Transporte,2007
"Everybody's Talkin' - From ""Midnight Cowboy""",1t0BrJYmUBuPRzxzY9GImM,164906,0,383,412,473,841,541,-10,37,124,676,4,1,4.0,Everywhere You Look (as Featured In Full House),Jesse Frederick,Full House,Series de televisión,Entretenimiento y Medios,1987
Eye of the Tiger,2KH16WveTQWT6KOG9Rg6e2,245640,76,132,817,599,311,873,-9,328,108,548,0,0,4.0,Eye of the Tiger,Survivor,Kia,Vehículos y automóviles,Automotriz y Transporte,2017
"Family Guy Main Title - From ""Family Guy""",72jm8yTVBe8LKbvr3EU8gR,31986,40,311,628,555,0,108,-8,94,145,0,5,1,4.0,Family Guy Main Title - From 'Family Guy',Walter Murphy,Family Guy,Series de televisión,Entretenimiento y Medios,1999
Family Ties,0BFGhvWxWzUJ9JNjzEGurZ,64888,12,673,427,386,175,114,-16,703,83,185,0,1,4.0,Family Ties Theme (Without Us),"Johnny Mathis, Deniece Williams",Family Ties,Series de televisión,Entretenimiento y Medios,1982
Fan de Ti - Edit Version,5yImWXxZ0Ll2ELOpEOKG4L,216666,18,165,544,0,0,821,-2,304,133,404,0,1,4.0,Fan de Ti - Edit Version,Chico Buarque,Coca-Cola,Alimentos y bebidas,Consumo y Retail,2004
Fan de Ti - Edit Version,5yImWXxZ0Ll2ELOpEOKG4L,216666,18,165,544,0,0,821,-2,304,133,404,0,1,4.0,Fan de Ti - Edit Version,Chico Buarque,Amores Extraños,Película,Entretenimiento y Medios,2005
Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,206413,85,972,707,924,703,204,-2,31,127,919,7,1,4.0,Feel So Close - Radio Edit,Calvin Harris,Pepsi,Alimentos y bebidas,Consumo y Retail,2012
Felicità,7sXTcibuNYugjjYNfgf2kY,193160,70,489,0,625,0,439,-8,402,107,814,0,1,4.0,Felicità,Al Bano and Romina Power,Nutella,Alimentos y bebidas,Consumo y Retail,1982
Fever,2CeqxyOZEyiL6pTDYZ9gPH,201333,55,906,742,899,0,113,-19,158,137,351,9,0,4.0,Fever,Peggy Lee,Febreze,Hogar y jardín,Consumo y Retail,2020
Fever,2CeqxyOZEyiL6pTDYZ9gPH,201333,55,906,742,899,0,113,-19,158,137,351,9,0,4.0,Fever,Elvis Presley,Enchanted,Película,Entretenimiento y Medios,2007
Fever,2CeqxyOZEyiL6pTDYZ9gPH,201333,55,906,742,899,0,113,-19,158,137,351,9,0,4.0,Fever,Peggy Lee,"Beverly Hills, 90210",Series de televisión,Entretenimiento y Medios,1990
Fitzpleasure,6gP9gjBR6KQ4T2pw9CLtkj,219386,0,142,573,0,146,102,-6,49,143,352,9,1,4.0,Fitzpleasure,Alt-J,Suits,Series de televisión,Entretenimiento y Medios,2012
Flat Beat,7GP1ZmPGH1puBliT9S6Fi5,325173,45,23,921,418,261,406,-11,589,128,445,4,0,4.0,Flat Beat,Mr. Oizo,Levis,Moda y belleza,Consumo y Retail,1999
Fly Away,0n0eMsX7WgEtc7dlscbuKU,221893,50,212,597,868,0,664,-5,526,160,709,7,1,4.0,Fly Away,Lenny Kravitz,Peugeot 206,Vehículos y automóviles,Automotriz y Transporte,1998
Fly Away,0n0eMsX7WgEtc7dlscbuKU,221893,50,212,597,868,0,664,-5,526,160,709,7,1,4.0,Fly Away,Lenny Kravitz,Ford,Vehículos y automóviles,Automotriz y Transporte,2000
"Flying E.T. the Extra-Terrestrial"")",4J9mulgiRlkkgdAONNVGQv,222773,40,772,218,0,749,133,-20,355,78,695,7,1,3.0,Flying Theme,John Williams,E.T. the Extra-Terrestrial,Película,Entretenimiento y Medios,1982
Follow,0MMWj8de7P5rm4OnsJzlMn,196480,0,444,535,766,621,615,-5,786,151,625,2,1,4.0,Follow,Richie Havens,Parenthood,Series de televisión,Entretenimiento y Medios,2010
For What It's Worth,1qRA5BS78u3gME0loMl9AA,153693,82,406,653,519,209,101,-10,497,98,822,2,1,4.0,For What It's Worth,Buffalo Springfield,Forrest Gump,Película,Entretenimiento y Medios,1994
Forever Young,5d4EJrwEEQgP4qzs6gwzsD,239120,0,167,379,664,679,915,-6,307,115,301,11,1,4.0,Forever Young,Alphaville,Pepsi,Alimentos y bebidas,Consumo y Retail,2012
Forever Young,5d4EJrwEEQgP4qzs6gwzsD,239120,0,167,379,664,679,915,-6,307,115,301,11,1,4.0,Forever Young,Alphaville,Napoleon Dynamite,Película,Entretenimiento y Medios,2004
Found Love,06bP5fBUljQLN6GPEMpiFr,196333,42,529,588,0,878,341,-5,272,86,359,0,1,4.0,Found Love,Curtis Mayfield,Gucci,Moda y belleza,Consumo y Retail,2015
Fourth of July,5Qnrgqy1pAm9GyNQOgyVFz,279316,78,973,435,104,0,119,-22,445,120,162,6,0,4.0,Fourth of July,Sufjan Stevens,NCIS: Los Angeles,Series de televisión,Entretenimiento y Medios,2009
Freedom! '90,2FaZsSfghCffWexhcG7QEC,388400,0,991,676,873,144,541,-7,44,91,818,5,1,4.0,Freedom! '90,George Michael,Pepsi,Alimentos y bebidas,Consumo y Retail,1990
Freedom! '90,2FaZsSfghCffWexhcG7QEC,388400,0,991,676,873,144,541,-7,44,91,818,5,1,4.0,Freedom! '90,George Michael,The Big Chill,Película,Entretenimiento y Medios,1983
Freedom! '90,2FaZsSfghCffWexhcG7QEC,388400,0,991,676,873,144,541,-7,44,91,818,5,1,4.0,Freedom! '90,George Michael,Pitch Perfect 3,Película,Entretenimiento y Medios,2017
Frente a frente (feat. Tulsa),73KNzyiG6xM6xguaLe4ICj,233960,0,513,419,473,352,133,-8,288,138,324,7,0,4.0,Frente a frente (feat. Tulsa),Enrique Bunbury,Élite,Series de televisión,Entretenimiento y Medios,2019
Friday I'm In Love,1sME2jR8BFAp3QlBaswcsS,213266,0,671,551,895,894,359,-7,358,135,464,7,0,4.0,Friday I'm In Love,The Cure,Hes Just Not That Into You,Película,Entretenimiento y Medios,2009
Friends: I'll Be There for You,2if9H4ebDIgXE6W3Op5TtG,184130,0,913,258,704,876,0,-10,422,191,814,9,1,4.0,Friends: I'll Be There for You,The Rembrandts,Friends,Series de televisión,Entretenimiento y Medios,1994
Full House,7jKHyd5AVkgKpWUg795won,63906,24,329,0,669,0,123,-9,529,127,686,4,1,4.0,Full House Theme (Everywhere You Look),Jesse Frederick,Full House,Series de televisión,Entretenimiento y Medios,1987
Game of Thrones (Main Theme),7291HY2uZEHwk5BQZunOSa,100884,8,483,299,657,644,176,-9,428,169,275,0,0,3.0,Game of Thrones (Main Theme),Ramin Djawadi,Game of Thrones,Series de televisión,Entretenimiento y Medios,2011
Geronimo,2Pavqy0vPxGilGe0IIetdP,218227,0,434,707,771,13,115,-6,783,142,437,7,1,4.0,Geronimo,Sheppard,The Flash,Series de televisión,Entretenimiento y Medios,2014
Get a Little Dirt on Your Hands,64aBLWQzwFEmLfKwOWLz7y,184826,22,898,708,398,449,223,-10,356,121,661,5,1,4.0,Get a Little Dirt on Your Hands,The Delltones,Crocodile Dundee II,Película,Entretenimiento y Medios,1988
Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,2Q3V7RKJSRSNrRHyY5Junj,315093,0,224,771,886,38,307,-1,979,108,744,10,0,4.0,Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,James Brown,Coca-Cola,Alimentos y bebidas,Consumo y Retail,2000
Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,2Q3V7RKJSRSNrRHyY5Junj,315093,0,224,771,886,38,307,-1,979,108,744,10,0,4.0,Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,James Brown,Pepsi,Alimentos y bebidas,Consumo y Retail,2004
Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,2Q3V7RKJSRSNrRHyY5Junj,315093,0,224,771,886,38,307,-1,979,108,744,10,0,4.0,Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,James Brown,Levis,Moda y belleza,Consumo y Retail,1997
Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,2Q3V7RKJSRSNrRHyY5Junj,315093,0,224,771,886,38,307,-1,979,108,744,10,0,4.0,Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,James Brown,The Nutty Professor,Película,Entretenimiento y Medios,1996
Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,2Q3V7RKJSRSNrRHyY5Junj,315093,0,224,771,886,38,307,-1,979,108,744,10,0,4.0,Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,James Brown,The Big Lebowski,Película,Entretenimiento y Medios,1998
Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,2Q3V7RKJSRSNrRHyY5Junj,315093,0,224,771,886,38,307,-1,979,108,744,10,0,4.0,Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,James Brown,El Corte Inglés,Tiendas físicas y minoristas,Consumo y Retail,2019
Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,2Q3V7RKJSRSNrRHyY5Junj,315093,0,224,771,886,38,307,-1,979,108,744,10,0,4.0,Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,James Brown,Renault,Vehículos y automóviles,Automotriz y Transporte,1999
Gilligan's Island Theme,3T8lqmIn5TAUzU9wjPt2YD,93777,34,608,703,0,0,456,-8,275,109,752,0,1,4.0,Gilligan's Island Theme,"Sherwood Schwartz, George Wyle",Gilligans Island,Series de televisión,Entretenimiento y Medios,1964
Girls Like You (feat. Cardi B) - Cardi B Version,6V1bu6o1Yo5ZXnsCJU8Ovk,235545,64,566,779,541,0,0,-6,658,124,447,0,1,4.0,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,Apple Music,Plataformas digitales,Tecnología y Comunicaciones,2018
Glacier,7jCH6aPThvaCXItJNgGzuX,248840,10,0,538,398,505,102,-9,599,150,0,11,0,4.0,Glacier,John Grant,Looking,Series de televisión,Entretenimiento y Medios,2014
"Go Go Power Rangers (From ""Mighty Morphin Power Rangers"")",1zt7adjAOO6kw5r3yLD3va,65208,8,104,303,946,159,414,-2,767,94,539,0,1,4.0,Go Go Power Rangers (From 'Mighty Morphin Power Rangers'),Ron Wasserman,Mighty Morphin Power Rangers,Series de televisión,Entretenimiento y Medios,1993
God Save The Queen,1jqUgrWfujbEMQZ4LXPUfT,200080,0,146,271,911,459,157,-5,728,149,501,9,1,4.0,God Save The Queen,Sex Pistols,The Great Rock n Roll Swindle,Película,Entretenimiento y Medios,1980
Golden Chains (feat. The Shoes),7sezkduh9WQJMVwnPeSz77,175320,0,634,682,704,446,941,-5,39,105,767,2,1,4.0,Golden Chains (feat. The Shoes),Woodkid,Divergent,Película,Entretenimiento y Medios,2014
Golden Girls (Thank You for Being a Friend),5PS1pJgC3axpKanB4FViJB,46915,22,489,715,459,6,139,-11,409,110,354,2,1,4.0,Golden Girls (Thank You for Being a Friend),Andrew Gold,The Golden Girls,Series de televisión,Entretenimiento y Medios,1985
Golden Skans,6TBmUrZflEhWqkuEWxaoEU,166693,0,781,448,817,244,283,-2,402,141,723,2,0,4.0,Golden Skans,Klaxons,Nike,Recreación y productos deportivos,"Salud, Bienestar y Deportes",2007
"Gonna Fly Now - From ""Rocky""",0aHeHQiqse8YRy4UtRZ0iK,284666,1,666,326,551,0,578,-7,355,90,318,0,1,4.0,Gonna Fly Now,Bill Conti,Rocky,Película,Entretenimiento y Medios,1976
Goodnight Moon,3XpJO7x4y6MLdwo5QU2sA8,244293,56,283,743,678,158,68,-7,313,112,809,9,0,4.0,Goodnight Moon,Shivaree,Kill Bill: Volume 2,Película,Entretenimiento y Medios,2004
Goodnight Moon,3XpJO7x4y6MLdwo5QU2sA8,244293,56,283,743,678,158,68,-7,313,112,809,9,0,4.0,Goodnight Moon,Shivaree,Mad Men,Series de televisión,Entretenimiento y Medios,2008
Goodnight Moon,3XpJO7x4y6MLdwo5QU2sA8,244293,56,283,743,678,158,68,-7,313,112,809,9,0,4.0,Goodnight Moon,Shivaree,Merriam-Webster,Software y aplicaciones móviles,Tecnología y Comunicaciones,2006
Gotham main theme,72FDWsobMwKSo4C5yz78kt,136117,12,0,428,404,923,116,-14,298,94,175,7,0,4.0,Gotham main theme,Danny Elfman,Gotham,Series de televisión,Entretenimiento y Medios,2014
Gotita De Amor,4w6O2VvJ1DJabqrmR2TJZ9,148493,20,891,681,0,0,0,-3,664,139,928,1,1,4.0,Gotita De Amor,Tatiana,Gotita de Amor,Series de televisión,Entretenimiento y Medios,1998
Gotta Be Patient,2Nb2SSUnGfThgDyG9ZOAkS,160318,38,366,727,528,0,284,-7,106,137,0,7,1,4.0,Gotta Be Patient,Stay Homas,Spot solidario durante la pandemia de COVID-19,Servicios médicos y productos de salud,"Salud, Bienestar y Deportes",2020
Green Acres,0wLNGspvvn4617zDA7ihx9,70519,0,678,714,393,255,489,-13,975,120,778,2,1,4.0,Green Acres,Vic Mizzy,Green Acres,Series de televisión,Entretenimiento y Medios,1965
Growing Pains (As Long as We've Got Each Other),5tfFcnXH3aEWxGPWwIsQQJ,69355,17,635,0,553,0,283,-13,505,121,268,5,1,4.0,Growing Pains Theme,Steve Dorff,Growing Pains,Series de televisión,Entretenimiento y Medios,1985
Guerrera,3Q6zROQvMXRtR9NYfDpNWL,208695,58,165,0,605,0,185,-6,52,115,644,6,1,4.0,Guerrera,Mala Rodríguez,Nike,Recreación y productos deportivos,"Salud, Bienestar y Deportes",2016
Guitar Man,6MOtjGcj62i72t3K7rMVoO,226213,48,144,553,506,378,438,-13,46,143,0,4,0,4.0,Guitar Man,Bread,Radio,Película,Entretenimiento y Medios,2003
Gunsmoke,42NLOYbanl3orgXKYeYUnP,96800,15,818,389,0,251,208,-8,288,105,528,5,0,4.0,Gunsmoke Theme,Rex Koury,Gunsmoke,Series de televisión,Entretenimiento y Medios,1955
Hallelujah,6JUALLwHnidbO4eM09ArIh,249613,0,874,479,186,0,114,-7,302,71,435,9,0,4.0,Hallelujah,Jeff Buckley,Shrek,Película,Entretenimiento y Medios,2001
Hallelujah. I Love Her So,5P11rW6aJErF37MTfRZS31,155506,63,792,696,547,0,155,-5,169,73,623,5,0,4.0,"Hallelujah, I Love Her So",Ray Charles,Ray,Película,Entretenimiento y Medios,2004
Hands Up,31xCliZ8NISxt9uaXGA9XB,208573,0,607,888,876,323,375,-4,425,123,992,8,1,4.0,Hands Up,Ottawan,The Full Monty,Película,Entretenimiento y Medios,1997
Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,298899,82,767,332,225,349,128,-8,348,81,297,0,1,3.0,Happier Than Ever,Billie Eilish,Happier Than Ever: A Love Letter to Los Angeles,Película,Entretenimiento y Medios,2021
Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,298899,82,767,332,225,349,128,-8,348,81,297,0,1,3.0,Happier Than Ever,Billie Eilish,Bridgerton,Series de televisión,Entretenimiento y Medios,2024
Happy,6lkBm0HuGooeS21upFP77i,233305,38,757,831,757,0,886,-6,319,159,962,1,1,4.0,Happy - EP Version,Pharrell Williams,Pepsi,Alimentos y bebidas,Consumo y Retail,2014
Happy,6lkBm0HuGooeS21upFP77i,233305,38,757,831,757,0,886,-6,319,159,962,1,1,4.0,Happy - EP Version,Pharrell Williams,Beats by Dre,Dispositivos electrónicos,Tecnología y Comunicaciones,2014
Happy,6lkBm0HuGooeS21upFP77i,233305,38,757,831,757,0,886,-6,319,159,962,1,1,4.0,Happy - EP Version,Pharrell Williams,Despicable Me 2,Película,Entretenimiento y Medios,1960
Happy,6lkBm0HuGooeS21upFP77i,233305,38,757,831,757,0,886,-6,319,159,962,1,1,4.0,Happy - EP Version,Pharrell Williams,Despicable Me 2,Película,Entretenimiento y Medios,2013
Happy,6lkBm0HuGooeS21upFP77i,233305,38,757,831,757,0,886,-6,319,159,962,1,1,4.0,Happy - EP Version,Pharrell Williams,Apple,Plataformas digitales,Tecnología y Comunicaciones,2014
Happy,6lkBm0HuGooeS21upFP77i,233305,38,757,831,757,0,886,-6,319,159,962,1,1,4.0,Happy - EP Version,Pharrell Williams,Fiat 500L,Vehículos y automóviles,Automotriz y Transporte,2014
Happy Days,3UtONF74cRv7QRbndW1Vin,157586,0,127,596,522,0,114,-8,276,94,929,2,0,4.0,Happy Days,Charles Fox,Happy Days,Series de televisión,Entretenimiento y Medios,1974
Hasta Que El Dinero Nos Separe,48uhVWfTcdknkULh1tQx0S,203826,10,803,395,318,0,261,-10,608,141,538,6,0,3.0,Hasta Que El Dinero Nos Separe,Pedro Fernández,Hasta que el dinero nos separe,Series de televisión,Entretenimiento y Medios,2009
Have You Ever Seen The Rain,7ix6FlTNXFcWHqEoJh89xR,208354,42,737,612,507,2,895,-6,261,119,522,0,1,4.0,Have You Ever Seen The Rain,Creedence Clearwater Revival,Forrest Gump,Película,Entretenimiento y Medios,1994
Hawaii 5-0,0AUWZaBnDPZ2CVMB2fgoiO,202240,34,316,0,725,484,766,-7,33,174,0,5,1,4.0,Hawaii 5-0 Theme,Morton Stevens,Hawaii Five-O,Series de televisión,Entretenimiento y Medios,1968
Heart Of Glass - Special Mix,0a4agFmqHXxcZl1nho1BxM,275733,67,15,694,577,859,853,-14,309,114,846,4,1,4.0,Heart Of Glass - Special Mix,Blondie,Samsung Galaxy S8,Dispositivos electrónicos,Tecnología y Comunicaciones,2017
Heartbeats,16j0oMDsmn2aeAewzF1NUi,160240,72,974,554,0,735,698,-16,338,87,314,3,1,4.0,Heartbeats,José González,The Secret Life of Walter Mitty,Película,Entretenimiento y Medios,2013
Heavy Cross,4N6R6yqkFUTyF3AYOdR0T7,242786,54,946,792,697,899,131,-4,32,120,0,2,1,4.0,Heavy Cross,Gossip,Dior,Moda y belleza,Consumo y Retail,2009
Heavy Cross,4N6R6yqkFUTyF3AYOdR0T7,242786,54,946,792,697,899,131,-4,32,120,0,2,1,4.0,Heavy Cross,Gossip,Glee,Series de televisión,Entretenimiento y Medios,2010
Hello. Dolly!,2gd28EFQmVBuAp5ihe1dAR,147000,67,842,0,405,114,198,-9,0,0,0,0,1,0.0,"Hello, Dolly!",Louis Armstrong,Coca-Cola,Alimentos y bebidas,Consumo y Retail,1980
Hello. Dolly!,2gd28EFQmVBuAp5ihe1dAR,147000,67,842,0,405,114,198,-9,0,0,0,0,1,0.0,"Hello, Dolly!",Louis Armstrong,Levis,Moda y belleza,Consumo y Retail,2000
Hello. Dolly!,2gd28EFQmVBuAp5ihe1dAR,147000,67,842,0,405,114,198,-9,0,0,0,0,1,0.0,"Hello, Dolly!",Louis Armstrong,Wall-E,Película,Entretenimiento y Medios,2008
Here I Go Again,1tQ5TSr1tyeQUbHKBee0jv,232800,56,151,484,877,17,0,-5,337,92,687,7,1,4.0,Here I Go Again,Whitesnake,Rock of Ages,Película,Entretenimiento y Medios,2012
Herida De Amor,2EWGvUD8572bGdCUZpWGxY,268946,34,324,512,533,0,107,-8,289,147,257,11,1,4.0,Herida De Amor,Ana Bárbara,Heridas de Amor,Series de televisión,Entretenimiento y Medios,2005
Heroes - 2017 Remaster,7Jh1bpe76CNTCgdgAdBw4Z,371413,73,678,489,758,0,92,-6,297,112,435,7,1,4.0,Heroes - 2017 Remaster,David Bowie,Moulin Rouge!,Película,Entretenimiento y Medios,2001
Heroes - 2017 Remaster,7Jh1bpe76CNTCgdgAdBw4Z,371413,73,678,489,758,0,92,-6,297,112,435,7,1,4.0,Heroes - 2017 Remaster,David Bowie,Nike,Recreación y productos deportivos,"Salud, Bienestar y Deportes",2012
Heroes - 2017 Remaster,7Jh1bpe76CNTCgdgAdBw4Z,371413,73,678,489,758,0,92,-6,297,112,435,7,1,4.0,Heroes - 2017 Remaster,David Bowie,Stranger Things,Series de televisión,Entretenimiento y Medios,2019
Hey,5BtNKZScq7gRDbcJ2FhIQb,300506,53,0,0,434,0,106,-12,353,104,325,2,1,4.0,Hey,Julio Iglesias,Seat,Vehículos y automóviles,Automotriz y Transporte,1980
Hey There Delilah,15iEXnizukvzpAFbLIRGKs,233200,0,819,527,452,0,102,-7,293,103,311,2,1,4.0,Hey There Delilah,Plain White T's,Family Guy,Series de televisión,Entretenimiento y Medios,2008
Hey There Delilah,15iEXnizukvzpAFbLIRGKs,233200,0,819,527,452,0,102,-7,293,103,311,2,1,4.0,Hey There Delilah,Plain White T's,Volkswagen,Vehículos y automóviles,Automotriz y Transporte,2007
Hey. Soul Sister,0KpfYajJVVGgQ32Dby7e9i,216666,0,217,675,885,0,86,-4,436,97,768,1,0,4.0,"Hey, Soul Sister",Train,Samsung,Dispositivos electrónicos,Tecnología y Comunicaciones,2010
Hill Street Blues,1rnhwRtHUz4g2Bo300uLoH,187706,24,0,554,399,668,138,-10,314,97,209,3,1,4.0,Hill Street Blues Theme,Mike Post,Hill Street Blues,Series de televisión,Entretenimiento y Medios,1981
Hit Me With Your Best Shot - 1999 Digital Remaster,7nrtHjt4Vk4Z5jMHOwaS8F,171293,0,109,715,702,773,255,-6,296,127,954,4,1,4.0,Hit Me With Your Best Shot - 1999 Digital Remaster,Pat Benatar,Rock of Ages,Película,Entretenimiento y Medios,2012
Ho Hey,1jdNcAD8Ir58RlsdGjJJdx,161226,0,779,685,474,123,149,-9,313,79,0,0,1,4.0,Ho Hey,The Lumineers,Silver Linings Playbook,Película,Entretenimiento y Medios,2012
Home,10ViidwjGLCfVtGPfdcszR,306320,0,0,545,0,389,124,-6,327,111,127,2,1,4.0,Home,Edward Sharpe & The Magnetic Zeros,Stuck in Love,Película,Entretenimiento y Medios,2012
Home Improvement,2ScZK7mOFUjkIprsYwSPGU,70000,17,311,575,862,952,306,-8,664,179,0,7,0,4.0,Home Improvement Theme,Dan Foliart,Home Improvement,Series de televisión,Entretenimiento y Medios,1991
House Of A Thousand Guitars,1SlatjHQbN3SO0JERD4Mwk,270280,39,332,567,523,0,709,-8,287,118,522,11,1,5.0,House Of A Thousand Guitars,Bruce Springsteen,Blinded by the Light,Película,Entretenimiento y Medios,2019
House of Cards (Main the TV Series),0YTqK6BZkBr3da3ktdRaWN,110000,16,697,423,609,0,958,-10,362,98,757,9,0,4.0,House of Cards (Main Theme from the TV Series),Jeff Beal,House of Cards,Series de televisión,Entretenimiento y Medios,2013
How I Met Your Mother (Main Theme),73gkatHJ87Tut4nWDQY9mf,72226,8,323,0,831,928,0,-5,31,135,668,2,1,4.0,How I Met Your Mother (Main Theme),The Solids,How I Met Your Mother,Series de televisión,Entretenimiento y Medios,2005
How to Save a Life,5fVZC9GiM4e8vu99W0Xf6J,262533,80,269,0,743,0,101,-4,379,122,361,10,1,4.0,How to Save a Life,The Fray,Greys Anatomy,Series de televisión,Entretenimiento y Medios,2006
Hoy Tengo Ganas De Ti,4xDPw0yKACEyZ5M3Mts69i,291253,43,312,387,472,0,687,-6,392,123,188,3,0,4.0,Hoy Tengo Ganas De Ti,Alejandro Fernández,La Tempestad,Series de televisión,Entretenimiento y Medios,2013
Hundred Mile High City,5P2CWpIzIsjU8gxIy5Jtx8,235466,33,113,459,933,434,0,-3,442,112,693,2,1,4.0,Hundred Mile High City,Ocean Colour Scene,"Lock, Stock and Two Smoking Barrels",Película,Entretenimiento y Medios,1998
Hundred Miles,5dyDkXi1bnQKSyIdO0JXp8,172413,0,25,479,714,153,206,-3,109,98,0,7,0,4.0,Hundred Miles,Yall,Desigual Advertisement,Moda y belleza,Consumo y Retail,2015
Hurt,1med9ijNdCwxnyS8vBpfhR,218533,0,666,536,0,906,841,-7,263,90,146,9,0,4.0,Hurt,Johnny Cash,Logan,Película,Entretenimiento y Medios,2017
